Title,Author,Average_Rating
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83
Bel Canto,Ann Patchett,3.94
Inferno,Dante Alighieri,4.03
A Portrait of the Artist as a Young Man,James Joyce,3.64
Where the Crawdads Sing,Delia Owens,4.37
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83
Cloud Atlas,David Mitchell,4.01
The Hunchback of Notre-Dame,Victor Hugo,4.02
Circe,Madeline Miller,4.22
القرآن الكريم,Anonymous,4.38
Tao Te Ching,Lao Tzu,4.29
Cold Mountain,Charles Frazier,3.89
As I Lay Dying,William Faulkner,3.72
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19
Go Ask Alice,Beatrice Sparks,3.74
Mansfield Park,Jane Austen,3.86
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.05
The Martian Chronicles,Ray Bradbury,4.16
The BFG,Roald Dahl,4.23
A Separate Peace,John Knowles,3.60
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.11
"Red Queen (Red Queen, #1)",Victoria Aveyard,3.98
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.15
Steppenwolf,Hermann Hesse,4.13
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.15
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92
Robinson Crusoe,Daniel Defoe,3.68
The Invisible Life of Addie LaRue,V.E. Schwab,4.17
The Remains of the Day,Kazuo Ishiguro,4.14
"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.13
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.19
Coraline,Neil Gaiman,4.13
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.11
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,4.38
The Plague,Albert Camus,4.02
Doctor Zhivago,Boris Pasternak,4.01
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.34
